resource_uid,source_resource_id,resource_type,tract_id_alias,county_id,annual_heat_demand_gwh,res_temp_deg_c,depth_km,resource_size_mwh,lcoh_dlrs_per_mmbtu,flag
109305,DA059,hydrothermal,10503,2079,3113.524457359997,67.0,0.444,1659696.554,7.240971570425255,0
109318,DA059,hydrothermal,14042,2079,3113.524457359997,67.0,0.245,5323525.512,7.113536603486871,0
109319,DA059,hydrothermal,18173,2079,3113.524457359997,67.0,0.753,3367817.196,7.236267078617852,0
109321,DA059,hydrothermal,37203,2079,3113.524457359997,67.0,0.858,4625281.41,7.243989622261945,0
109322,DA059,hydrothermal,41497,2079,3113.524457359997,67.0,0.792,1605805.232,7.2613126227422615,0
109323,DA059,hydrothermal,47179,2079,3113.524457359997,67.0,0.197,3897358.028,7.148785189451947,0
109438,DA059,hydrothermal,11423,2079,3113.524457359997,67.0,0.932,1635484.51,7.270697641704425,0
109439,DA059,hydrothermal,43045,2079,3113.524457359997,67.0,0.414,3103046.78,7.204040793934158,0
109440,DA059,hydrothermal,44497,2079,3113.524457359997,67.0,0.523,690433.767,7.285585577267939,0
109443,DA059,hydrothermal,8483,2079,3113.524457359997,67.0,0.187,2236880.439,7.199402570369887,0
109444,DA059,hydrothermal,13086,2079,3113.524457359997,67.0,0.169,2206420.125,7.214400915734047,0
109445,DA059,hydrothermal,44593,2079,3113.524457359997,67.0,0.498,1102038.512,7.253422375105407,0
109446,DA059,hydrothermal,52507,2079,3113.524457359997,67.0,1.143,584994.221,7.299626754317219,0
109447,DA059,hydrothermal,59141,2079,3113.524457359997,67.0,0.493,5604697.632,7.159748315267076,0
109454,DA059,hydrothermal,11475,2079,3113.524457359997,67.0,0.226,2418861.285,7.202302930291136,0
109455,DA059,hydrothermal,18457,2079,3113.524457359997,67.0,0.463,1191076.351,7.252130824803331,0
109320,DA065,hydrothermal,29977,2002,87.59639512000003,52.0,0.316,8772268.162,31.873915082546922,0
109450,Z105,hydrothermal,35722,2002,87.59639512000003,90.0,0.733,8055555.556,30.320643666792712,0
109346,ID249,hydrothermal,36644,37,117.36084824000001,57.0,0.893,3888888.889,33.25781442716686,0
109344,Z121,hydrothermal,36644,37,117.36084824000001,100.0,0.893,10277777.778,31.670218305436368,0
109309,DA054,hydrothermal,36644,37,117.36084824000001,68.0,0.234,18684355.976999998,32.42320077410961,0
109337,ID267,hydrothermal,15787,82,89.06721399999998,57.0,0.43,3888888.889,23.81690547389269,0
109335,Z134,hydrothermal,15787,82,89.06721399999998,135.0,0.43,20277777.778,22.477102444018897,0
109341,Z127,hydrothermal,15787,82,89.06721399999998,110.0,0.43,12777777.778,21.929972677015908,0
109339,ID269,hydrothermal,15787,82,89.06721399999998,50.0,0.43,3055555.556,24.32391849393134,0
109332,ID266,hydrothermal,9914,82,89.06721399999998,74.0,0.589,5277777.778,22.91916530499501,0
109357,Z130,hydrothermal,58864,82,89.06721399999998,115.0,0.61,14166666.667,22.124727735176293,0
109336,ID210,hydrothermal,6725,730,216.24930778,57.0,0.521,3888888.889,38.14649009388713,0
109328,ID193,hydrothermal,6725,730,216.24930778,59.0,0.521,3888888.889,38.03910295701766,0
109355,ID224B,hydrothermal,6725,730,216.24930778,55.0,0.521,3611111.111,38.262880375814284,0
109329,ID194,hydrothermal,6725,730,216.24930778,50.0,0.521,3055555.556,38.60429625393104,0
109340,ID215,hydrothermal,6725,730,216.24930778,56.0,0.521,3611111.111,38.20252204215379,0
109333,ID203,hydrothermal,6725,730,216.24930778,55.0,0.521,3611111.111,38.262880375814284,0
109351,Z138,hydrothermal,6725,730,216.24930778,103.0,0.521,8055555.556,37.056022884177295,0
109348,Z118,hydrothermal,6725,730,216.24930778,100.0,0.521,10277777.778,37.099154507296504,0
109345,ID222,hydrothermal,6725,730,216.24930778,68.0,0.521,4722222.222,37.60661769262191,0
109326,Z126,hydrothermal,6725,730,216.24930778,110.0,0.521,12777777.778,36.96784042355115,0
109331,ID202,hydrothermal,6725,730,216.24930778,72.0,0.521,5277777.778,37.486105260740196,0
109342,ID216,hydrothermal,6725,730,216.24930778,50.0,0.521,3055555.556,38.60429625393104,0
109334,ID207,hydrothermal,6725,730,216.24930778,57.0,0.521,3888888.889,38.14649009388713,0
109356,Z107,hydrothermal,6725,730,216.24930778,90.0,0.521,8055555.556,37.246792275726264,0
109350,ID189,hydrothermal,6725,730,216.24930778,58.0,0.521,3888888.889,38.0922112940021,0
109310,DA055,hydrothermal,6725,730,216.24930778,72.0,0.483,25058237.932,37.46706949124214,0
109312,DA055,hydrothermal,14152,730,216.24930778,72.0,0.483,1818410.774,37.46706949124214,0
109359,ID263,hydrothermal,44482,772,145.90947130999996,64.0,0.318,4444444.444,20.266098629546114,0
109349,ID160,hydrothermal,11,772,145.90947130999996,57.0,0.958,3888888.889,20.82874386852286,0
109360,ID071,hydrothermal,47926,2382,17.020220779999992,58.0,0.22,3888888.889,55.668128630820114,0
109363,Z108,hydrothermal,37860,1644,135.93632756999995,90.0,0.368,8055555.556,34.34805822850353,0
109362,ID231,hydrothermal,37860,1644,135.93632756999995,85.0,0.368,6388888.889,34.513767046376834,0
109298,DA062,hydrothermal,37860,1644,135.93632756999995,57.0,0.109,11246515.328,35.515909353395266,0
109551,ID111,hydrothermal,46368,2965,63.59399055000001,55.0,0.849,3611111.111,41.091824130294754,0
109361,DA049,hydrothermal,46368,2965,63.59399055000001,59.0,0.849,2615999.592,40.78047373772484,0
109547,ID107,hydrothermal,30956,2965,63.59399055000001,54.0,0.413,3611111.111,40.74939693026078,0
109549,ID109,hydrothermal,30956,2965,63.59399055000001,61.0,0.413,4166666.667,40.21154557722974,0
109306,DA049,hydrothermal,30956,2965,63.59399055000001,59.0,0.413,1519714.292,40.35671429218283,0
109388,ID021,hydrothermal,68628,530,44.81390607999999,68.0,0.156,4722222.222,25.99755396106423,0
109382,ID028,hydrothermal,68628,530,44.81390607999999,64.0,0.156,4444444.444,26.236333651466918,0
109386,Z125,hydrothermal,68628,530,44.81390607999999,110.0,0.156,12777777.778,26.42644988358886,0
109436,ID481,hydrothermal,68628,530,44.81390607999999,78.0,0.321,5555555.556,25.68406879376303,0
109378,ID027,hydrothermal,65217,2026,183.1341659699999,83.0,0.432,6111111.111,32.4853981161774,0
109380,Z104,hydrothermal,65217,2026,183.1341659699999,90.0,0.432,8055555.556,32.43233802922398,0
109448,DA067,hydrothermal,65217,2026,183.1341659699999,62.0,0.615,1159864.142,33.13873525753595,0
109452,ID457,hydrothermal,65217,2026,183.1341659699999,57.0,0.615,3888888.889,33.41919060835681,0
109453,ID474,hydrothermal,65217,2026,183.1341659699999,67.0,0.615,4722222.222,32.879646728329085,0
109458,DA063,hydrothermal,68440,2026,183.1341659699999,80.0,0.272,6312567.978,32.42677554448738,0
109460,DA066,hydrothermal,68440,2026,183.1341659699999,75.0,0.272,3022456.122,32.478133095872245,0
109461,DA067,hydrothermal,68440,2026,183.1341659699999,62.0,0.272,4499858.064,32.93339447037665,0
109463,ID449,hydrothermal,68440,2026,183.1341659699999,76.0,0.272,5555555.556,32.467695716576046,0
109464,ID452,hydrothermal,68440,2026,183.1341659699999,67.0,0.272,4722222.222,32.67531478734076,0
109465,ID454,hydrothermal,68440,2026,183.1341659699999,84.0,0.272,6111111.111,32.39435550002893,0
109466,ID460,hydrothermal,68440,2026,183.1341659699999,64.0,0.272,4444444.444,32.82810634232722,0
109468,ID462,hydrothermal,68440,2026,183.1341659699999,63.0,0.272,4444444.444,32.88032176743578,0
109469,ID463,hydrothermal,68440,2026,183.1341659699999,79.0,0.272,5833333.333,32.4363244303449,0
109470,ID464,hydrothermal,68440,2026,183.1341659699999,88.0,0.272,6666666.667,32.36445686523288,0
109471,ID465,hydrothermal,68440,2026,183.1341659699999,66.0,0.272,4722222.222,32.725632565950534,0
109476,ID475,hydrothermal,68440,2026,183.1341659699999,50.0,0.272,3055555.556,33.68110301798374,0
109477,Z102,hydrothermal,68440,2026,183.1341659699999,85.0,0.272,7222222.222,32.38691883676804,0
109478,Z113,hydrothermal,68440,2026,183.1341659699999,95.0,0.272,9166666.667,32.31500003977399,0
