resource_uid,state_abbr,tract_id_alias,source_resource_id,resource_type,system_type,depth_m,n_wellsets_in_tract,res_temp_deg_c,lifetime_resource_per_wellset_mwh,dist_km,county_id
109305,ID,10503,DA059,hydrothermal,delineated area,444.0,2,67.0,829848.277,0.0,2079
109318,ID,14042,DA059,hydrothermal,delineated area,245.0,6,67.0,887254.252,0.0,2079
109319,ID,18173,DA059,hydrothermal,delineated area,753.0,4,67.0,841954.299,0.0,2079
109320,ID,29977,DA065,hydrothermal,delineated area,316.0,14,52.0,626590.583,0.0,2002
109321,ID,37203,DA059,hydrothermal,delineated area,858.0,5,67.0,925056.282,0.0,2079
109322,ID,41497,DA059,hydrothermal,delineated area,792.0,2,67.0,802902.616,0.0,2079
109323,ID,47179,DA059,hydrothermal,delineated area,197.0,4,67.0,974339.507,0.0,2079
109324,ID,71979,DA058,hydrothermal,delineated area,100.0,26,32.0,287571.685,0.0,2079
109346,ID,36644,ID249,hydrothermal,isolated system,893.0,1,57.0,3888888.889,0.0,37
109344,ID,36644,Z121,hydrothermal,isolated system,893.0,1,100.0,10277777.778,0.0,37
109309,ID,36644,DA054,hydrothermal,delineated area,234.0,21,68.0,889731.237,0.0,37
109372,ID,36644,ID074,hydrothermal,isolated system,9.0,1,40.0,2222222.222,10.1147991386824,37
109374,ID,36644,ID077,hydrothermal,isolated system,9.0,1,57.0,3888888.889,15.1299841477732,37
109376,ID,36644,Z110,hydrothermal,isolated system,9.0,1,95.0,9166666.667,10.4659941800476,37
109337,ID,15787,ID267,hydrothermal,isolated system,430.0,1,57.0,3888888.889,0.0,82
109335,ID,15787,Z134,hydrothermal,isolated system,430.0,1,135.0,20277777.778,0.0,82
109341,ID,15787,Z127,hydrothermal,isolated system,430.0,1,110.0,12777777.778,0.0,82
109339,ID,15787,ID269,hydrothermal,isolated system,430.0,1,50.0,3055555.556,0.0,82
109336,ID,6725,ID210,hydrothermal,isolated system,521.0,1,57.0,3888888.889,0.0,730
109328,ID,6725,ID193,hydrothermal,isolated system,521.0,1,59.0,3888888.889,0.0,730
109355,ID,6725,ID224B,hydrothermal,isolated system,521.0,1,55.0,3611111.111,0.0,730
109329,ID,6725,ID194,hydrothermal,isolated system,521.0,1,50.0,3055555.556,0.0,730
109340,ID,6725,ID215,hydrothermal,isolated system,521.0,1,56.0,3611111.111,0.0,730
109338,ID,6725,ID211,hydrothermal,isolated system,521.0,1,42.0,2500000.0,0.0,730
109333,ID,6725,ID203,hydrothermal,isolated system,521.0,1,55.0,3611111.111,0.0,730
109351,ID,6725,Z138,hydrothermal,isolated system,521.0,1,103.0,8055555.556,0.0,730
109348,ID,6725,Z118,hydrothermal,isolated system,521.0,1,100.0,10277777.778,0.0,730
109345,ID,6725,ID222,hydrothermal,isolated system,521.0,1,68.0,4722222.222,0.0,730
109326,ID,6725,Z126,hydrothermal,isolated system,521.0,1,110.0,12777777.778,0.0,730
109331,ID,6725,ID202,hydrothermal,isolated system,521.0,1,72.0,5277777.778,0.0,730
109342,ID,6725,ID216,hydrothermal,isolated system,521.0,1,50.0,3055555.556,0.0,730
109334,ID,6725,ID207,hydrothermal,isolated system,521.0,1,57.0,3888888.889,0.0,730
